"Total energy expenditures per capita, dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MT,479,502.2,519.8,607.9,798.5,880.3,950.7,1020.5,1168.7,1465.7,1787.9,1975.3,1901.6,1890.3,2015.5,2120.5,1754.5,1742.3,1824,1982.5,2119.2,2059.7,2051.9,2142.1,2186.5,2267.9,2432.2,2316.5,2236.9,2292.2,2839.9,2725.7,2501.7,2807.4,3411.8,4293.7,4916.6,5464.6,6195.8,4559.7,4810.7,5763.4,5598.5,5543.9,5452.2,4250.3,3864.9,4356.8,4792.1,4688.1,4055.1,5086.1
NC,376.1,407.6,437,487.9,652.3,721.9,815.2,905.5,957,1171.1,1447.1,1620,1594.5,1605.8,1741.7,1730.1,1600.4,1692.9,1717.5,1778.6,1889.7,1868.3,1880.6,1923.6,1903.5,1952.9,2083.5,2067.9,1916.1,1948.6,2359.1,2300.7,2203.6,2411.4,2714.9,3212.5,3373.3,3531.7,3982.7,3047.9,3581.1,3916.1,3839.3,3864.7,3867.9,3167.1,2947.4,3077,3394.8,3259.3,2750.7,3437.5
ND,468.3,495.2,498.3,577.2,757.7,851.4,922,1002.6,1130.4,1520.7,1905,2175.7,2172.2,2043.4,2171.8,2156.2,1848.9,1856.1,1924.3,2076.2,2210.6,2245.6,2196.9,2248,2229.6,2249.7,2461.7,2456.6,2230.2,2483.3,3071.2,3395.4,3015,3293.9,3936.4,4834,5242.8,6063.4,7113.1,5129.1,6483.1,9334.9,9920.5,10588.9,11126.3,7349.6,6108.5,7155.3,8171.1,7865.2,6202.2,7937.8
NE,448.8,470,496.7,546.3,685.3,780.8,909.4,996.8,1067.5,1288.5,1562.2,1727.4,1777.6,1888,1869.8,1860.4,1605.8,1678.7,1753.5,1872.4,2000.4,1962.4,1900.9,1945,1982.7,2014.8,2232,2239.3,2061.9,2112.5,2556.9,2590,2428.8,2729.3,3089.6,3660.5,4071,4461.4,5067.4,3966.3,4803.3,5454.3,5486.8,5530.8,5509.1,4315.8,3964.1,4309.6,4783.6,4603,3891.2,4922.6
NH,426.8,463.7,482.3,529.5,720.5,776.9,877.7,940.7,1000.6,1103.7,1414.8,1634,1540.3,1488.6,1600,1634.3,1436.6,1585.9,1600.6,1713.7,1814.2,1742.2,1814.2,1843.9,1909.6,1983.1,2089,2099,1990.8,2101.1,2529.1,2438.4,2342.1,2701.3,3060.8,3544.8,3817.6,4067.2,4590.9,3727,4023.4,4669.9,4519.2,4629.5,4828.9,3951.7,3511.5,3841.4,4310.4,4075.2,3352.8,4079.5
NJ,424.3,462.2,493.6,548.4,784.4,832.8,942.3,1005.1,1044.3,1298.3,1721.4,2004.4,2061.8,1990.3,2078.4,2084.4,1826.9,1829,1831.2,1977.1,2018.3,2011.1,2023.2,2014.3,2114.4,2116,2231.5,2225.3,1957,2091.5,2420.8,2353.5,2234.1,2555.1,3030.2,3576.7,3964.3,4379.8,5132.7,3779.7,4031.6,4509.8,4256.5,4241.1,4192.9,3354.3,3081.2,3261.4,3628,3418.7,2677.1,3344.2
NM,451.8,473.7,503.6,545.6,715.4,778.4,860.9,976.3,1093,1298.3,1685.9,2011.4,1815.8,1752.3,1833.5,1769.8,1542.3,1613.5,1641.5,1756.2,1942.4,1923.6,1874,1933.6,1844.6,1685.8,1815.6,1931.3,1809.1,1873.7,2210.1,2309.2,2106.7,2373.6,2733.3,3313.9,3660,3947.4,4220.3,3106.9,3536.2,4280.6,4308.5,4334.7,4407.9,3463.2,3094.7,3519.7,3945.6,3795.9,3199.9,4333.3
NV,562.8,569.2,609.8,681.5,864.1,989.9,1067.3,1195.4,1325.8,1597.9,2047.6,2161.6,2145.4,2080.4,1961.7,1953.6,1642.3,1654.9,1755.5,1900.6,1968.8,1863.3,1885.8,1919,2019.8,1916.7,2091.8,1995.1,1880.6,2013.4,2344.6,2494.6,2440.3,2584,3007.4,3492,3947.7,4051.8,4189.5,3313.7,3777.9,4086,4089.3,4067.9,4085.3,3369.3,2998.1,3315.5,3676.5,3588.3,2816.4,3583.7
NY,348.3,380.6,408.9,468.5,651.6,700.4,783.1,858.9,899.6,1064.7,1316.2,1496.1,1464.3,1405.9,1410.2,1453.6,1299.8,1320.2,1329.3,1426.5,1543.6,1556.8,1588,1640.3,1666.8,1679.5,1782.4,1789.8,1614.7,1646,2063.8,2079.1,1912.3,2261.3,2512.7,2942.2,3086.9,3306,3730.6,2902.9,3323.7,3572.3,3442.6,3471.7,3566.5,2889,2593.5,2819.6,3185.5,3005.2,2385.7,2997.6
OH,435.7,461.5,503.9,546,762.8,848.6,937.8,1059,1149.8,1387,1678.2,1870.9,1871.2,1886.4,1921.8,1920.7,1702.6,1743.8,1776.9,1890.8,1943.3,1944.5,1931.1,2012.8,2039.9,2060.8,2200.5,2243,2086.9,2210.5,2582.2,2551.3,2409.9,2724,3020.6,3610.3,3879.4,4140,4666.1,3539.5,3824.9,4277.4,4161.7,4196.1,4331.9,3518.1,3233.4,3425.2,3771.1,3582.9,2965.5,3784.5
