"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ME,152342,168340,163744,168899,177055,171429,180137,193495,204211,216022,230972,281791,304132,294332,258683,222178,258409,263043,244392,223074,198340,194633,230398,177768,207391,209101,245667,234781,280038,258047,247447,236445,232092,239297,253439,243867,251711,256438,253121,266171,259350,227875,230101,265720,260353,263938,235253,233431,201971,202702,189831,188435,170117,182365,185791,194972,186072,181420,171062,166761,157444,164149
MI,713352,715745,739170,752116,762674,791646,824626,845652,899703,941717,955898,991998,1074861,1122745,1082014,1076579,1143534,1170987,1215137,1038344,906659,817824,745764,747226,782143,812411,848190,879671,911829,911714,871782,873873,876843,903733,904323,927445,949317,978548,982332,1034821,991862,980720,992007,968414,979694,978894,926618,919768,836361,803633,814514,796407,778608,831484,847600,864500,880277,869880,896217,882063,756310,816074
MN,381283,374735,391131,397851,401486,424101,450411,433071,471719,498747,512466,527837,583054,602583,575569,556785,599225,584823,601144,567901,498349,450175,467279,460833,488996,481704,494237,487282,501511,503752,502903,509447,538597,547209,565003,585943,621533,614840,613318,641002,657500,652093,650633,671245,688025,700917,680945,678958,643535,593753,589241,580208,585141,600937,602446,595108,617809,611526,624491,640082,545473,567228
MO,403574,403064,420475,430599,437130,461941,476235,494891,544102,561646,571688,584900,612120,632136,610794,613301,644310,667599,694616,658767,560667,535243,543957,526714,537151,548611,561794,583414,607354,603202,586562,580164,600605,620426,652393,670662,701147,696979,744664,769363,674357,722516,723507,739036,744126,741961,736536,730638,675205,644431,645915,623832,599722,601720,614721,622945,619747,611040,619352,622101,576090,609448
MS,142266,142103,155263,173232,180787,174275,185309,207865,234518,253123,272674,288999,330721,370581,378835,377776,420661,477480,511668,451900,382612,352407,314441,308251,311980,315257,335829,349660,380731,365367,374048,384670,399471,422266,401065,394455,417839,432969,461773,472228,455825,479661,428283,480507,480422,455899,469598,460954,422379,399195,379283,369063,373429,364610,367502,377952,386987,384318,380952,383081,369614,385435
MT,106971,116813,120089,121231,123327,110675,118225,111571,124354,129121,126169,133161,146327,156521,158426,154673,166959,163936,172332,186730,163682,143907,130099,148093,140833,151737,133303,133216,135516,143576,142439,135154,139897,149526,148716,155992,166438,160519,159543,173185,165428,156398,161571,157136,176136,182921,194283,206442,192417,182297,171656,177760,173248,172419,168456,165080,166880,172427,171531,175168,174592,176856
NC,418929,441038,462642,467240,473652,494612,535629,547089,565296,588078,618277,647225,708734,727331,685130,636312,706387,754860,743733,735741,658887,611184,600316,638834,705548,694797,730781,761413,799693,745095,715480,705946,734150,759709,769268,815328,852728,858408,868642,863324,906487,900456,876330,900018,930984,947056,918121,920732,883566,798784,875156,830733,802771,812705,834289,857023,878993,885764,906189,905845,807695,884691
ND,101649,96651,104594,110136,109579,106897,112532,116513,122200,119620,115352,119462,120172,120862,117592,116903,116538,115140,120575,136221,126840,126589,122775,124191,122464,118168,118999,116746,115240,118036,112054,113247,117579,115068,116351,113693,118582,119917,112773,123412,119333,137162,123512,121722,133016,136531,136542,139972,137092,127743,148277,184822,199212,222215,236320,193722,164552,184122,190027,188349,163767,169566
NE,136000,138374,141446,151176,147140,140541,151343,158852,177862,182782,192242,195489,211472,214162,210070,208267,229551,231193,246421,224645,189490,176315,184673,195549,187410,189263,191720,200556,215764,206709,205026,200522,203315,199079,206553,209703,232216,230493,243768,246043,221604,215468,222228,229099,233553,228762,228780,229195,219571,216104,243230,231425,233031,231611,234466,234270,232829,233348,239157,242788,228175,237542
NH,83382,88309,94812,98991,97142,96289,108409,112063,116297,129831,139870,149111,153180,150480,139001,137438,159996,158532,158511,137488,133609,122799,114853,112789,134577,129981,156111,166118,167452,173652,159032,146347,146937,147279,151807,150696,155699,159259,168062,173701,168959,166694,176568,200220,205481,190420,167795,165020,160994,154095,148187,147637,138269,144512,155001,152764,146737,152656,155704,152435,136963,141670
