"Total energy average price, dollars per million Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NE,1.72,1.8,1.84,2.02,2.57,2.9,3.2,3.54,3.85,4.78,6.52,7.71,7.62,7.97,7.89,8.02,7.17,7.19,6.96,7.63,8.41,8.18,8.17,8.06,8.05,7.98,8.47,8.52,7.68,8.04,10.07,10.36,9.63,10.8,12.21,14.69,15.94,16.73,18.65,14.88,16.74,19.33,19.9,19.34,19.26,15.54,14.31,15.53,16.6,16.03,14.25,17.53
NH,2.18,2.26,2.29,2.57,3.84,4.32,4.4,4.82,5.32,7,9.28,11.36,10.71,10.54,10.14,10.31,8.55,8.74,9.24,9.9,10.82,10.76,10.81,11.07,11.46,11.76,11.93,12.09,11.46,11.89,13.68,13.62,12.81,14.15,15.58,18.46,21.84,23.25,26.66,22.09,24.16,27.72,28.38,27.68,27.78,22.56,20.97,22.26,24.5,23.52,21.48,25.65
NJ,1.99,2.21,2.27,2.5,3.87,4.35,4.41,4.95,5.18,6.4,8.4,9.68,9.67,9.43,9.31,9.62,8.26,8.04,8.17,8.67,9.43,9.35,8.94,9.04,9.08,9.25,9.86,9.82,8.89,9.18,11.13,11.13,10.59,12.17,14.31,16.31,19.02,19.67,23.61,19.11,21.66,24.33,24.4,23.84,23.14,18.96,17.63,19.16,20.09,19.88,18.69,21.8
NM,1.46,1.53,1.59,1.89,2.53,2.88,2.95,3.75,4.18,5.51,7.11,8.48,9.01,8.29,8.63,9.32,8.17,8.19,7.95,8.57,9.36,8.9,8.75,9.17,9.37,9.1,9.68,9.81,9.05,9.18,10.98,11.39,10.61,11.93,13.56,16.54,18.35,19.16,22.56,17.86,20.09,23.81,24.19,23.62,23.69,18.65,16.83,18.8,19.91,18.49,16.92,21.38
NV,1.95,1.96,2.06,2.25,3.05,3.52,3.72,4.28,4.61,5.82,8.17,9.3,9.52,8.95,8.71,8.93,7.77,7.41,7.73,8.18,8.97,8.75,8.99,9.04,9.58,9.22,9.83,9.89,9.24,10.07,11.76,12.97,13.05,13.88,15.68,18.01,20.05,21.28,23.67,20.01,20.87,23.35,23.72,22.81,23.17,19.43,16.64,17.99,20,19.72,17.93,21.11
NY,1.81,2.03,2.18,2.41,3.61,4.11,4.2,4.66,4.89,6.2,8.03,9.83,10.11,10.65,10.31,10.25,8.98,8.89,8.86,9.59,10.5,10.75,10.7,10.96,11.25,11.21,11.48,11.49,10.74,10.88,13.19,13.71,12.7,14.44,15.67,19.01,21.14,21.98,25.29,20.73,22.78,25.3,25.39,24.72,24.49,19.83,18.1,19.53,20.99,20.16,19.41,22.52
OH,1.5,1.65,1.71,1.84,2.59,3.06,3.2,3.72,3.96,4.86,6.23,7.1,7.8,8.23,8.06,8.25,7.36,7.37,7.26,7.65,8.27,8.42,8.25,8.59,8.59,8.55,8.87,9.09,8.79,8.99,10.42,10.9,10.37,11.49,12.84,15.39,17.14,17.77,20.36,16.99,18.11,20.43,20.49,19.88,19.76,16.56,15.6,16.7,17.43,16.96,15.29,18.49
OK,1.85,1.89,1.95,2.15,2.71,3.08,3.28,3.71,4.02,4.92,6.49,7.32,7.66,7.61,7.49,7.75,7,6.68,6.53,6.65,7.38,7.26,7.16,7.27,7.22,7.18,7.84,8.06,7.5,7.89,9.97,10.46,9.51,10.89,12.33,14.83,16.46,17.07,20.39,15.92,17.13,19.73,20.19,19.73,19.92,16.05,14.06,15.37,16.2,15.54,13.46,17.51
OR,1.85,1.92,1.92,2.07,2.81,3.16,3.44,3.84,4.16,5.17,7.07,7.82,8.16,8.02,8.08,8.27,7.03,7.13,7.11,7.5,8.08,7.87,8.01,8.35,8.46,8.58,8.89,8.63,8.11,8.79,10.56,10.97,11.11,11.97,13.21,15.26,16.91,18.21,20.88,17.58,19.1,22.12,22.58,22.04,22.11,18.94,17.36,18.35,20.26,19.87,18.06,21.4
PA,1.47,1.66,1.76,1.9,2.84,3.25,3.39,3.84,4.06,4.86,6.37,7.39,8.28,8.25,8.04,8.4,7.63,7.44,7.29,7.75,8.56,8.89,8.6,8.54,8.68,8.79,9.15,9.4,9.15,9.14,10.7,11.26,10.81,11.81,13.13,15.66,17.57,18.34,21.41,18.13,19.61,22.72,22.76,21.53,21.29,17.74,16.63,17.94,18.96,18.32,17.08,19.49
