Coal Emissions by State (1970 - 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1970 - 2021,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute
Michigan,78.2,79.0,79.6,74.6,67.1,70.8,67.7,65.4,63.5,71.7,71.7,71.6,67.2,66.9,70.8,74.0,77.0,79.8,78.9,75.1,74.8,72.7,67.4,67.9,75.9,74.6,75.5,74.1,78.5,79.0,76.0,75.1,70.4,71.3,73.8,76.3,73.7,76.3,76.2,70.2,71.4,65.8,59.2,62.7,58.9,58.9,44.9,47.6,48.3,42.7,31.9,41.6,-46.75%,-36.6
Minnesota,17.0,14.7,15.3,17.1,17.9,18.1,21.1,25.1,24.3,21.8,23.1,23.2,20.2,20.1,22.0,21.5,19.1,24.3,28.9,30.9,30.9,28.7,28.6,30.9,31.6,32.1,33.7,32.4,33.9,32.5,35.6,33.6,34.4,37.3,36.2,36.2,35.4,34.9,34.3,31.4,30.1,30.1,24.6,25.6,29.9,26.0,25.0,24.6,25.0,19.6,15.6,17.2,0.75%,0.1
Mississippi,1.3,1.3,1.3,2.8,3.3,3.2,4.0,3.7,3.9,5.7,7.1,7.9,9.6,9.1,9.9,10.4,10.3,11.6,12.3,9.1,9.9,9.1,8.3,9.4,9.2,9.9,12.1,12.6,12.0,13.1,14.0,18.9,14.7,17.1,17.7,16.9,18.1,17.7,16.9,13.5,14.2,10.3,7.9,9.3,11.1,6.8,5.8,5.1,5.7,4.9,5.2,6.2,391.06%,4.9
Missouri,26.5,27.9,31.7,36.4,36.3,40.9,44.5,47.9,46.2,48.7,50.5,51.0,49.8,53.7,56.4,50.3,48.7,50.2,52.0,52.3,51.3,50.8,49.8,44.4,51.2,56.4,60.0,63.7,66.1,65.4,65.6,68.2,69.2,76.0,77.2,79.9,79.1,76.6,75.7,73.1,76.6,78.9,73.4,77.0,74.5,66.6,61.1,67.9,63.9,55.9,52.8,59.1,122.76%,32.5
Montana,1.1,1.1,1.3,1.4,1.4,1.8,4.0,5.5,5.5,6.0,5.7,5.9,4.6,4.1,8.6,9.4,12.7,12.6,17.3,17.1,16.1,17.5,18.5,15.4,18.4,16.7,13.2,15.4,17.7,17.8,16.8,17.6,15.9,18.1,18.7,19.1,18.5,19.3,19.4,16.5,19.4,15.8,15.0,15.9,16.7,17.1,15.5,14.9,14.6,15.2,9.5,11.8,928.49%,10.6
Nebraska,2.8,2.5,3.2,3.5,3.1,3.1,5.1,5.6,5.7,7.4,8.9,9.4,9.2,10.0,11.8,11.0,10.5,11.1,13.3,12.5,13.5,14.5,13.4,15.8,15.2,17.1,17.0,18.4,19.5,18.9,19.7,21.6,20.8,21.7,21.4,21.9,21.7,20.7,22.4,23.8,24.3,27.2,26.0,28.0,26.4,25.5,23.0,22.4,25.3,23.0,20.5,20.7,633.59%,17.9
Nevada,1.6,3.5,8.0,8.6,9.6,9.6,10.6,11.0,8.7,9.4,8.9,10.7,13.9,13.3,14.8,12.0,15.4,14.7,17.5,16.2,15.7,17.2,17.0,16.4,17.1,15.4,16.1,15.8,17.5,17.3,19.0,18.0,15.7,17.4,18.5,18.9,8.0,7.9,8.5,8.0,7.7,6.0,5.0,6.2,7.6,3.5,2.9,2.6,3.3,3.6,2.7,3.4,109.10%,1.8
New Hampshire,2.6,2.4,2.9,2.7,2.4,2.5,1.9,2.5,1.9,2.8,2.8,2.3,2.6,2.8,3.2,3.8,2.4,3.0,3.1,3.0,3.0,3.3,3.3,3.6,3.2,3.4,3.4,4.2,3.7,3.4,4.2,3.8,3.8,4.0,4.2,4.2,4.3,4.3,3.8,3.1,3.2,2.3,1.4,1.6,1.4,1.1,0.5,0.3,0.7,0.4,0.1,0.3,-87.91%,-2.3
New Jersey,11.7,8.7,3.0,6.3,7.8,5.8,6.7,6.8,5.8,5.6,6.5,7.2,7.5,8.7,8.0,9.8,7.4,8.6,7.7,9.0,7.7,5.9,6.0,6.0,6.2,7.6,8.2,9.5,8.2,8.5,10.9,10.7,10.0,10.2,10.8,12.0,11.1,10.7,9.3,5.7,6.9,4.7,2.4,2.5,2.9,2.2,1.7,1.6,1.6,1.3,1.2,1.2,-89.68%,-10.5
New Mexico,9.5,11.5,11.8,12.8,13.4,12.6,13.1,14.6,13.9,14.5,19.3,18.7,21.5,25.1,24.1,25.5,23.0,24.8,25.3,26.6,26.2,22.3,25.5,25.6,26.4,26.2,26.5,27.4,27.6,28.4,29.1,28.3,27.1,29.2,29.6,30.4,30.2,28.3,27.1,29.2,25.5,27.2,25.2,24.5,20.6,20.6,18.8,19.0,13.1,14.5,13.3,12.8,35.04%,3.3
